Nombre,Distrito,Partido,Perfil
Member,8505,D,https://www.ilga.gov/Senate/Members/Details/3264
Member,5413,R,https://www.ilga.gov/Senate/Members/Details/3265
Member,8176,D,https://www.ilga.gov/Senate/Members/Details/3268
Member,5966,D,https://www.ilga.gov/Senate/Members/Details/3269
Member,422,D,https://www.ilga.gov/Senate/Members/Details/3270
Member,8250,D,https://www.ilga.gov/Senate/Members/Details/3271
Member,9573,D,https://www.ilga.gov/Senate/Members/Details/3276
Member,3840,R,https://www.ilga.gov/Senate/Members/Details/3281
Member,5145,D,https://www.ilga.gov/Senate/Members/Details/3291
Member,8066,D,https://www.ilga.gov/Senate/Members/Details/3292
Member,9595,D,https://www.ilga.gov/Senate/Members/Details/3293
Member,3650,D,https://www.ilga.gov/Senate/Members/Details/3294
Member,1006,R,https://www.ilga.gov/Senate/Members/Details/3295
Member,8022,D,https://www.ilga.gov/Senate/Members/Details/3296
Member,5957,R,https://www.ilga.gov/Senate/Members/Details/3312
Member,3875,D,https://www.ilga.gov/Senate/Members/Details/3313
Member,8010,R,https://www.ilga.gov/Senate/Members/Details/3315
Member,5652,D,https://www.ilga.gov/Senate/Members/Details/3316
Member,7746,D,https://www.ilga.gov/Senate/Members/Details/3317
Member,5509,R,https://www.ilga.gov/Senate/Members/Details/3318
Member,2479,R,https://www.ilga.gov/Senate/Members/Details/3319
Member,9407,R,https://www.ilga.gov/Senate/Members/Details/3329
Member,3201,D,https://www.ilga.gov/Senate/Members/Details/3331
Member,1977,R,https://www.ilga.gov/Senate/Members/Details/3334
Member,4,R,https://www.ilga.gov/Senate/Members/Details/3336
Member,187,D,https://www.ilga.gov/Senate/Members/Details/3337
Member,2119,D,https://www.ilga.gov/Senate/Members/Details/3338
Member,8192,D,https://www.ilga.gov/Senate/Members/Details/3339
Member,8148,D,https://www.ilga.gov/Senate/Members/Details/3341
Member,8206,R,https://www.ilga.gov/Senate/Members/Details/3342
Member,5338,D,https://www.ilga.gov/Senate/Members/Details/3343
Member,5755,R,https://www.ilga.gov/Senate/Members/Details/3344
Member,5500,D,https://www.ilga.gov/Senate/Members/Details/3345
Member,1035,D,https://www.ilga.gov/Senate/Members/Details/3369
Member,7419,D,https://www.ilga.gov/Senate/Members/Details/3372
Member,5304,D,https://www.ilga.gov/Senate/Members/Details/3375
Member,523,D,https://www.ilga.gov/Senate/Members/Details/3376
Member,8181,D,https://www.ilga.gov/Senate/Members/Details/3378
Member,52,D,https://www.ilga.gov/Senate/Members/Details/3380
Member,1942,R,https://www.ilga.gov/Senate/Members/Details/3383
Member,33,D,https://www.ilga.gov/Senate/Members/Details/3385
Member,8137,R,https://www.ilga.gov/Senate/Members/Details/3386
Member,6216,R,https://www.ilga.gov/Senate/Members/Details/3397
Member,8492,D,https://www.ilga.gov/Senate/Members/Details/3398
Member,228,D,https://www.ilga.gov/Senate/Members/Details/3399
Member,9415,D,https://www.ilga.gov/Senate/Members/Details/3403
Member,54,D,https://www.ilga.gov/Senate/Members/Details/3404
Member,1607,D,https://www.ilga.gov/Senate/Members/Details/3405
Member,9463,R,https://www.ilga.gov/Senate/Members/Details/3406
Member,7353,D,https://www.ilga.gov/Senate/Members/Details/3407
Member,4307,D,https://www.ilga.gov/Senate/Members/Details/3408
Member,8800,D,https://www.ilga.gov/Senate/Members/Details/3409
Member,180,R,https://www.ilga.gov/Senate/Members/Details/3410
Member,5247,R,https://www.ilga.gov/Senate/Members/Details/3411
Member,2507,D,https://www.ilga.gov/Senate/Members/Details/3412
Member,6597,R,https://www.ilga.gov/Senate/Members/Details/3413
Member,8191,D,https://www.ilga.gov/Senate/Members/Details/3442
Member,6252,D,https://www.ilga.gov/Senate/Members/Details/3443
Member,4471,D,https://www.ilga.gov/Senate/Members/Details/3449
Member,8010,R,https://www.ilga.gov/Senate/Members/Details/3460
